"Name";"Nation";"Position";"Club";"Int Caps";"Int Goals";"Wage";"Value";"Date Of Birth";"Contract End";"Unique ID";"Club ID"
"Kane, Harry";"Angleterre / Irlande";"AM/F C";"FC Bayern München";"107";"73";"442190";"347999990";"28.07.1993";"30.06.2027";"28049320";"915"
"Mbappé, Kylian";"France";"AM RL, ST";"R. Madrid";"90";"50";"576420";"202953590";"20.12.1998";"30.06.2029";"85139014";"1736"
"Olise, Michael";"France / Angleterre / Nigeria";"AM RC";"FC Bayern München";"8";"2";"259550";"220622770";"12.12.2001";"30.06.2029";"29221846";"915"
"Salah, Mohamed";"Égypte";"AM RL, ST";"Liverpool";"104";"58";"464000";"347999990";"15.06.1992";"30.06.2027";"98028755";"676"
"Messi, Lionel";"Argentine / Espagne";"AM RC, F C";"Inter Miami";"193";"112";"257620";"347999990";"24.06.1987";"31.12.2028";"7458500";"72052048"
"Dembélé, Ousmane";"France / Mauritanie";"AM RL, ST";"Paris SG";"56";"7";"385570";"317739020";"15.05.1997";"30.06.2028";"85140178";"868"
"Courtois, Thibaut";"Belgique";"GK";"R. Madrid";"103";"0";"296780";"57276780";"11.05.1992";"30.06.2026";"18026122";"1736"
"Saka, Bukayo";"Angleterre / Nigeria";"AM RL";"Arsenal";"44";"12";"348000";"286108220";"05.09.2001";"30.06.2031";"28122642";"602"
"Alisson";"Brésil";"GK";"Liverpool";"74";"0";"272600";"347999990";"02.10.1992";"30.06.2027";"19058734";"676"
"Lamine Yamal";"Espagne / Maroc / Guinée Éq.";"AM R";"Barcelone";"21";"6";"325810";"313199990";"13.07.2007";"30.06.2031";"2000256231";"1708"
"van Dijk, Virgil";"Pays-Bas / Suriname";"D C";"Liverpool";"81";"10";"406000";"347999990";"08.07.1991";"30.06.2027";"37024025";"676"
"Ødegaard, Martin";"Norvège";"AM C";"Arsenal";"65";"3";"261000";"150555240";"17.12.1998";"30.06.2028";"53095137";"602"
"Haaland, Erling";"Norvège / Angleterre";"ST";"Man City";"43";"42";"522000";"207651610";"21.07.2000";"30.06.2034";"29179241";"679"
"Silva, Bernardo";"Portugal";"AM RC";"Man City";"102";"13";"290000";"83994250";"10.08.1994";"30.06.2026";"55041632";"679"
"Álvarez, Julián";"Argentine / Italie";"AM RLC, F C";"A. Madrid";"46";"13";"150370";"133981430";"31.01.2000";"30.06.2030";"14183207";"1687"
"Bellingham, Jude";"Angleterre / Irlande";"AM LC";"R. Madrid";"44";"6";"399890";"185620100";"29.06.2003";"30.06.2029";"29232937";"1736"
"Kvaratskhelia, Khvicha";"Géorgie";"AM LC";"Paris SG";"41";"18";"315390";"132147590";"12.02.2001";"30.06.2029";"59130638";"868"
"Isak, Alexander";"Suède / Érythrée";"AM L, ST";"Liverpool";"52";"16";"348000";"288352070";"21.09.1999";"30.06.2031";"93070286";"676"
"Raphinha";"Brésil / Italie";"AM RLC";"Barcelone";"34";"11";"280690";"80198390";"14.12.1996";"30.06.2028";"19242277";"1708"
"Wirtz, Florian";"Allemagne";"AM RLC";"Liverpool";"31";"7";"232000";"211879800";"03.05.2003";"30.06.2030";"91193048";"676"
"Díaz, Luis";"Colombie";"AM RL";"FC Bayern München";"70";"21";"269160";"124001730";"13.01.1997";"30.06.2029";"76049803";"915"
"Pedri";"Espagne";"DM, AM C";"Barcelone";"33";"3";"240590";"190039620";"25.11.2002";"30.06.2030";"67293495";"1708"
"Rice, Declan";"Angleterre / Irlande";"DM";"Arsenal";"66";"5";"290000";"169128010";"14.01.1999";"30.06.2028";"28106491";"602"
"Martínez, Lautaro";"Argentine";"ST";"Blu-neri";"64";"29";"321370";"125435290";"22.08.1997";"30.06.2029";"14110660";"1135"
