"name";"weight"
"Aarons";"1"
"Aasgaard";"1"
"Abbas";"1"
"Abbey";"1"
"Abbotson";"1"
"Abbott";"2"
"Abdulmalik";"1"
"Abimbola";"1"
"Aboh";"1"
"Abraham";"2"
"Abrefa";"1"
"Abu";"1"
"Acheampong";"2"
"Acquah";"1"
"Adams";"6"
"Adams-Collman";"1"
"Adarabioyo";"1"
"Adaramola";"1"
"Addai";"1"
"Adebayo";"1"
"Adebayo-Rowling";"1"
"Adébísí";"1"
"Adeboyejo";"1"
"Adedeji";"1"
"Adekoya";"1"
"Adekugbe";"1"
"Adekunle";"1"
"Adelakun";"1"
"Adelusi";"1"
"Ademola";"1"
"Adeniran";"1"
"Adeniyi";"1"
"Adewole";"1"
"Adeyemo";"2"
"Adiele";"1"
"Adjei-Afriyie";"1"
"Adomah";"1"
"Adu-Adjei";"1"
"Adu-Poku";"1"
"Adueni";"1"
"Afobe";"1"
"Afoka";"1"
"Afolayan";"1"
"Agbaire";"1"
"Agbawodikeizu";"1"
"Agbinone";"1"
"Agbude";"1"
"Agina";"1"
"Agius";"1"
"Agustien";"1"
"Agyaakwah";"1"
"Agyei";"1"
"Agyekum";"1"
"Ahinful";"1"
"Ahmed";"3"
"Ahui";"1"
"Aibangbee";"1"
"Aimson";"1"
"Airhiavbere";"1"
"Airoboma";"1"
"Ajala";"1"
"Ajayi";"3"
"Akande";"1"
"Akapo";"1"
"Akarakiri";"1"
"Akaunu";"1"
"Akhamrich";"1"
"Akins";"1"
"Akintunde";"1"
"Akinyemi";"1"
"Akolbire";"1"
"Akomeah";"1"
"Akoto";"1"
"Akpata";"1"
"Akpobi";"1"
"Akpom";"1"
"Al-Hamadi";"1"
"Alabi";"1"
"Alakiu";"1"
"Alao";"1"
"Albarus";"1"
"Albinson";"1"
"Alebiosu";"1"
"Alese";"1"
"Alexander";"1"
"Alexander-Arnold";"1"
"Ali";"3"
"Ali Wahid";"1"
"Ali-Sticca";"1"
"Aljofree";"1"
"Alker";"1"
"Allan";"3"
"Allarakhia";"1"
"Allen";"5"
"Alleyne";"1"
"Alli";"1"
"Allsop";"1"
"Alnwick";"1"
"Altintop";"1"
"Aluko";"1"
"Alves";"1"
"Alzate";"1"
"Amaechi";"1"
"Amaluzor";"1"
"Amartey";"1"
"Amass";"1"
"Ambursley";"1"
"Ameen";"1"
"Amissah";"2"
"Amo-Ameyaw";"1"
"Amos";"3"
"Ampadu";"1"
"Ampah";"1"
"Anang";"1"
"Andeng-Ndi";"1"
"Anderson";"9"
"Andiyapan";"1"
"André";"1"
"Andrew";"1"
"Andrews";"5"
"Angibeaud";"1"
"Anisjko";"1"
