"name";"weight"
"Aarón";"3"
"Aarón Sánchez";"2"
"Abad";"4"
"Abaida";"1"
"Abajas";"1"
"Abarca";"1"
"Abascal";"2"
"Abde";"1"
"Abdeselam";"1"
"Abed";"1"
"Abel";"2"
"Abel González";"1"
"Abeledo";"1"
"Abelenda";"1"
"Abenza";"1"
"Abizanda";"1"
"Ablanque";"1"
"Abner Felipe";"1"
"Abraham";"3"
"Abreu";"2"
"Abril";"1"
"Acerete";"1"
"Aceves";"1"
"Achhiba";"1"
"Acín";"1"
"Acosta";"2"
"Adama";"1"
"Adán";"1"
"Adelantado";"1"
"Adell";"1"
"Adeva";"1"
"Adjoka";"1"
"Adolfo González";"1"
"Adot";"1"
"Adri";"1"
"Adri García";"1"
"Adri González";"1"
"Adri López";"2"
"Adri Martínez";"1"
"Adri Ochoa";"1"
"Adri Pérez";"2"
"Adri Rodríguez";"1"
"Adrián";"5"
"Adrián Fernández";"1"
"Adrián García";"2"
"Adrián González";"1"
"Adrián López";"1"
"Adrián Pérez";"3"
"Adrián Pica";"1"
"Agaen";"1"
"Aghayedo";"1"
"Aghehowa";"1"
"Agirre";"1"
"Agirrezabala";"1"
"Agote";"1"
"Aguado";"5"
"Agudín";"1"
"Agudo";"2"
"Agüero";"1"
"Aguilar";"4"
"Aguilera";"2"
"Aguinaga";"2"
"Aguirre";"5"
"Aguirregabiria";"1"
"Agulló";"1"
"Aguza";"1"
"Ahadme";"1"
"Ahmed";"3"
"Aimar";"3"
"Aimar García";"2"
"Aitor Fernández";"1"
"Aitor García";"1"
"Aitor González";"1"
"Aitor Pérez";"1"
"Aizpun";"1"
"Aketxe";"2"
"Akhomach";"1"
"Akieme";"1"
"Akkus Rodríguez";"1"
"Alain";"1"
"Alain García";"1"
"Álamo";"2"
"Alarcón";"5"
"Alassan";"1"
"Alastuey";"1"
"Alayeto";"1"
"Alba";"4"
"Albarrán";"1"
"Albentosa";"1"
"Albert";"1"
"Albert García";"1"
"Albert López";"1"
"Albertín";"1"
"Albertito";"1"
"Alberto";"6"
"Alberto Fernández";"1"
"Alberto González";"1"
"Alberto Martín";"1"
"Alberto Sánchez";"1"
"Albi";"1"
"Albiach";"1"
"Albiar";"1"
"Albín";"1"
"Albiol";"2"
"Albisua";"1"
"Albizu";"1"
"Albizua";"1"
"Albóniga";"1"
"Albur";"1"
"Alcaide";"2"
"Alcaina";"1"
"Alcalá";"2"
"Alcalde";"2"
"Alcañiz";"2"
"Alcaraz";"1"
"Alcázar";"2"
"Alcedo";"1"
"Alcira";"1"
"Alcover";"1"
"Aldai";"1"
"Aldalur";"1"
"Aldasoro";"1"
"Ale García";"1"
"Ale Gomes";"1"
"Ale Palanca";"1"
"Alegría";"1"
"Aleix García";"1"
"Alejandro";"3"
"Alejo";"1"
"Alemañ";"1"
"Alemán";"2"
"Aleñá";"1"
"Alende";"1"
"Álex";"1"
"Álex Barbu";"1"
"Álex Costa";"1"
"Álex Fernández";"1"
"Álex Ferquez";"1"
"Álex García";"1"
"Álex Gonpi";"1"
"Álex González";"2"
"Álex Guti";"1"
"Álex Jiménez";"1"
"Álex Kosty";"1"
"Álex López";"3"
"Álex Martín";"1"
"Álex Martínez";"1"
"Álex Peque";"1"
"Álex Pérez";"7"
"Álex Piriti";"1"
"Álex Plà";"1"
"Álex Sánchez";"3"
"Álex Sancris";"1"
"Alexandro Fernández";"1"
"Alexis García";"1"
"Alfaro";"3"
"Alfon";"1"
"Alfonso";"3"
"Alfonso Fernández";"1"
"Alfonso Martín";"1"
"Alfredo";"1"
"Algarra";"1"
"Algisí";"1"
"Algobia";"1"
"Aliaga";"2"
"Alkain";"2"
"Aller";"1"
"Almagro";"1"
"Almansa";"2"
"Almazan";"1"
"Almeida";"3"
"Almena";"1"
"Almenara";"1"
"Alomar";"1"
"Alonso";"16"
"Alós";"1"
"Alpha";"1"
"Altamira";"1"
"Altimira";"2"
"Altozano";"1"
"Altube";"2"
"Álvarez";"20"
"Álvarez Fernández";"1"
"Alvarito";"1"
"Álvaro";"2"
"Álvaro Fernández";"2"
"Álvaro García";"5"
"Álvaro Ginés";"1"
"Álvaro Gómez";"1"
"Alvaro González";"1"
"Álvaro González";"5"
"Álvaro Juan";"1"
"Álvaro López";"1"
"Álvaro Martínez";"1"
"Álvaro Pérez";"1"
"Álvaro Rodríguez";"2"
"Álvaro Sánchez";"1"
"Alves";"2"
"Alvin";"1"
"Alvira";"1"
"Amadife";"1"
"Amaimouni-Echghouyab";"1"
"Amaro";"1"
"Amelibia";"1"
"Amer";"1"
"Ámez";"1"
"Amigo";"2"
"Amo";"1"
"Amores";"2"
"Amorrortu";"1"
"Amuedo";"1"
"Anadón";"1"
"Anai";"1"
"Anaya";"1"
"Ander Fernández";"1"
"Ander Sánchez";"1"
"Andone";"1"
"Andoni López";"1"
"Andrada";"1"
"Andrés";"2"
"Andrés Castrín";"1"
"Andrés Fernández";"1"
"Andrés García";"3"
"Andrés Rodríguez";"1"
"Andrés Sánchez";"1"
"Andreu";"2"
"Andrews";"1"
"Andriu";"1"
"Andújar";"2"
"Andy";"1"
"Ángel";"4"
"Ángel García";"1"
"Ángel López";"2"
"Ángel Martínez";"1"
"Ángel Pérez";"1"
"Ángel Sánchez";"2"
"Angeliño";"1"
"Angelito";"1"
"Angelo";"1"
"Anglada";"1"
