"name";"weight"
"Aabid";"1"
"Aamchoune";"1"
"Aaneba";"1"
"Aankour";"1"
"Aasgaard";"1"
"Ababsa";"1"
"Abanda";"2"
"Abasq";"1"
"Abbas";"1"
"Abdallah";"7"
"Abdeldjabar";"1"
"Abdeldjelil";"1"
"Abdelhamid";"1"
"Abdelkadous";"1"
"Abdelkrim";"1"
"Abdellaoui";"1"
"Abdelli";"1"
"Abdelmoula";"1"
"Abderrahmane";"1"
"Abdou";"3"
"Abdou-Maliki";"1"
"Abeddou";"1"
"Abeid";"1"
"Aberdin";"1"
"Abergel";"2"
"Aberkan";"1"
"Abese";"1"
"Abi";"1"
"Abline";"1"
"Abo El Nay";"1"
"Aboua";"1"
"Aboudh";"1"
"Abouhanifa";"1"
"Abraou";"1"
"Abreu";"1"
"Abt";"1"
"Acapandié";"1"
"Accard";"1"
"Acchiardi";"1"
"Achahbar";"1"
"Achi";"1"
"Achoui";"1"
"Achour";"1"
"Achouri";"1"
"Ackah";"1"
"Ackra";"1"
"Adam";"3"
"Adamé";"1"
"Adberrebi";"1"
"Addich";"1"
"Adebayo";"1"
"Adehoumi";"1"
"Adejumo";"1"
"Adekalom";"1"
"Adelaide";"1"
"Adélaïde";"1"
"Adèle";"1"
"Adeline";"1"
"Adéoti";"1"
"Adicéam";"1"
"Adilehou";"1"
"Adli";"2"
"Admar";"1"
"Adomah";"1"
"Adonis";"1"
"Adopo";"1"
"Adrián Santos";"1"
"Adrien";"2"
"Affamah";"1"
"Affoum-Bisignano";"1"
"Afonso";"1"
"Afougou";"1"
"Agamah";"1"
"Agbadouma";"1"
"Agblemagnon";"1"
"Agesilas";"1"
"Aggoun";"2"
"Aggoune";"1"
"Agius";"1"
"Agoro";"1"
"Agoua";"1"
"Agoumé";"1"
"Agounon";"1"
"Agro";"1"
"Aguad";"1"
"Aguemon";"1"
"Agui";"1"
"Aguilar";"1"
"Aguir";"1"
"Aguy";"1"
"Ahamada";"8"
"Ahamadi";"3"
"Ahile";"1"
"Ahmed";"4"
"Ahouissoussi";"1"
"Ahouré";"1"
"Aïche";"2"
