"name";"weight"
"Abadjiew";"1"
"Abaldo";"1"
"Abbey";"1"
"Abdat";"1"
"Abdel-Ghani";"1"
"Abderrahmane";"1"
"Abdullatif";"1"
"Abel";"1"
"Abert";"1"
"Abessouguie";"1"
"Abiama";"1"
"Abifade";"1"
"Aboagye";"1"
"Abraha";"1"
"Abrangao";"1"
"Abruscia";"1"
"Abu";"1"
"Abu-Alfa";"1"
"Ache";"1"
"Adabadji";"1"
"Adam";"2"
"Adamczyk";"1"
"Adamski";"1"
"Adamyan";"1"
"Addai";"1"
"Ade";"2"
"Adeh";"1"
"Adekunle";"1"
"Ademi";"1"
"Adesiyan";"1"
"Adetokunbo-Adelenu";"1"
"Adetula";"1"
"Adewole";"1"
"Adeyemi";"1"
"Adiele";"1"
"Adigo";"1"
"Adje";"1"
"Adjege";"1"
"Adlung";"1"
"Adoga";"1"
"Adou";"1"
"Adu";"1"
"Afamefuna";"1"
"Afanou";"1"
"Affam Ifeadigo";"1"
"Affo";"1"
"Afri Akumu";"1"
"Afriyie";"1"
"Agbaje";"1"
"Agirman";"1"
"Agovic";"1"
"Agu";"1"
"Aguilar";"2"
"Agyekum";"1"
"Agzikara";"1"
"Ahlbach";"1"
"Ahlgrimm";"1"
"Ahmadi";"1"
"Ahmed";"1"
"Ahouannou";"1"
"Ahrend";"1"
"Aigbekaen";"1"
"Aigner";"1"
"Aitamer";"1"
"Ajani";"1"
"Ajarar";"1"
"Ajvazi";"1"
"Ak";"1"
"Akaegbobi";"1"
"Akkaynak";"1"
"Akkus Rodríguez";"1"
"Akmestanli";"1"
"Akono";"1"
"Akoto";"2"
"Akova";"1"
"Akpoguma";"1"
"Aktas";"2"
"Akyildiz";"1"
"Al-Hazaimeh";"1"
"Al-Khalaf";"1"
"Alajbegovic";"2"
"Alberico";"1"
"Albers";"1"
"Albert";"1"
"Albrecht";"2"
"Alemu";"1"
"Alfa-Ruprecht";"1"
"Ali";"1"
"Alidou";"1"
"Alimov";"1"
"Allgeier";"1"
"Alpert";"1"
"Altay";"1"
"Altiparmak";"1"
"Altmann";"1"
"Altunisik";"1"
"Álvarez";"1"
"Amade";"1"
"Amamoo";"1"
"Amaniampong";"2"
"Amann";"1"
"Ambrosius";"1"
"Amedick";"1"
"Amegnaglo";"1"
"Amenyido";"1"
"Amin";"1"
"Amiri";"2"
"Amissah";"1"
"Ammari";"1"
"Amoako";"1"
"Ampadu";"1"
"Amyn";"1"
"Anan";"1"
"Anapak";"1"
"Anders";"1"
"Andreas";"2"
"Andresen";"1"
"Andrich";"1"
"Angleberger";"1"
"Anhari";"1"
"Ansah";"1"
"Anspach";"1"
