"name";"weight"
"Ababei";"1"
"Abbondanza";"1"
"Abiuso";"1"
"Abrefa";"1"
"Abruscia";"1"
"Acampora";"1"
"Acatullo";"1"
"Accardi";"1"
"Accornero";"1"
"Acerbi";"1"
"Achi Ange";"1"
"Achik";"1"
"Acquadro";"1"
"Adamo";"1"
"Addessi";"2"
"Addiego Mobilio";"1"
"Adjapong";"1"
"Adjoka";"1"
"Adorante";"1"
"Adorni";"1"
"Affo";"1"
"Affronti";"1"
"Agazzi";"2"
"Agbonifo";"1"
"Agnesini";"1"
"Agostinelli";"2"
"Agresta";"1"
"Agrimi";"1"
"Agüero";"1"
"Agyeman";"1"
"Agyemang";"1"
"Ahanor";"1"
"Aharrh Gnama";"1"
"Ahmetaj";"1"
"Aidoo";"1"
"Ajouli";"1"
"Alagna";"1"
"Alastra";"1"
"Albarracín";"2"
"Albè";"1"
"Alberico";"1"
"Albertazzi";"1"
"Alberti";"1"
"Albertini";"2"
"Albertoni";"1"
"Alborghetti";"1"
"Alcibiade";"1"
"Alesi";"1"
"Alessio";"1"
"Alex Telles";"1"
"Alfieri";"1"
"Alfiero";"1"
"Alfonso";"1"
"Ali-Sticca";"1"
"Aliata";"1"
"Alinovi";"1"
"Aliprandi";"1"
"Alizoni";"1"
"Allegretto";"1"
"Allievi";"1"
"Almada";"1"
"Almaviva";"1"
"Aloi";"1"
"Aloisio";"1"
"Altare";"1"
"Altomonte";"1"
"Álvarez";"2"
"Álvarez Castillo";"1"
"Amad";"1"
"Amadio";"3"
"Amadori";"1"
"Amah-Tchoutchoui";"1"
"Amalfitano";"1"
"Amaradio";"1"
"Amato";"1"
"Amatucci";"2"
"Ambrosini";"1"
"Ambrosino";"1"
"Amendola";"1"
"Amerighi";"1"
"Amey";"1"
"Amisano";"1"
"Ampollini";"1"
"Anacoura";"1"
"Anah";"1"
"Anas Haj";"1"
"Anastasia";"1"
"Anastasio";"2"
"Anatriello";"1"
"Andino";"1"
"Andrealli";"1"
"Andrenacci";"1"
"Andreoli";"1"
"Andreoni";"1"
"Andreotti";"1"
"Anelli";"2"
"Anello";"1"
"Angeletti";"1"
"Angeli";"1"
"Angelicchio";"1"
"Angella";"1"
"Angeloni";"1"
"Anghel";"1"
"Anghelé";"1"
"Anghileri";"2"
"Angileri";"2"
"Angiolini";"1"
"Angiulli";"1"
"Angori";"1"
"Anino";"1"
"Annan";"1"
"Annoni";"1"
"Ansen";"1"
"Antoci";"1"
"Antolini";"1"
"Antonelli";"2"
"Antonello";"1"
"Antoni";"1"
"Antoniacci";"1"
"Antoniazzi";"1"
"Antonini";"2"
"Antonucci";"1"
"Anzolin";"1"
"Aperi";"1"
"Appiah";"1"
"Aprea";"1"
"Apuzzo";"1"
"Araboni";"1"
"Aramu";"1"
"Arata";"1"
"Arcopinto";"1"
"Arcucci";"1"
"Arditi";"1"
"Ardizzone";"2"
"Arduini";"1"
"Are";"1"
