"name";"weight"
"Aaron";"18"
"Abdul";"1"
"Abdulhalim";"1"
"Abraham";"2"
"Abu";"1"
"Abube";"1"
"Adam";"23"
"Ade";"1"
"Adebola";"1"
"Adedire";"1"
"Ademide";"1"
"Ademola";"2"
"Aden";"2"
"Adian";"1"
"Adrian";"2"
"Adrien";"1"
"Ahmet";"1"
"Aidan";"7"
"Aiden";"3"
"Aidon";"1"
"Ainsley";"1"
"Airidas";"1"
"AJ";"2"
"Ajani";"1"
"Ajay";"1"
"Ajean-Ray";"1"
"Aji";"1"
"Akeel";"1"
"Akil";"1"
"Akin";"2"
"Al-Amin";"1"
"Alan";"2"
"Albert";"3"
"Albie";"1"
"Alejandro";"1"
"Alex";"38"
"Alexander";"1"
"Alexei";"1"
"Alfie";"29"
"Ali";"3"
"Alistair";"1"
"Álvaro";"1"
"Alvin";"1"
"Amaari";"1"
"Amadou";"1"
"Amani";"1"
"Amar";"1"
"Amara";"1"
"Amari";"2"
"Amari'i";"1"
"Amario";"1"
"Ameer";"1"
"Amin";"1"
"Amir";"1"
"Anand";"1"
"Anas";"1"
"Andre";"8"
"Andrew";"1"
"Andri";"1"
"Andrija";"1"
"Andros";"1"
"Andy";"6"
"Angel";"1"
"Angus";"2"
"Anis";"1"
"Anthony";"7"
"Antoine";"1"
"Anton";"1"
"Antonee";"1"
"Antoni";"1"
"Antony";"1"
"Antwoine";"1"
"Anwar";"1"
"Aramide";"1"
"Archie";"14"
"Aribim";"1"
"Armando";"3"
"Armani";"1"
"Aron";"1"
"Arron";"1"
"Arthur";"6"
"Arvin";"1"
"Ash";"1"
"Asher";"1"
"Ashley";"11"
"Ashqar";"1"
"Ashton";"4"
"Asmir";"1"
"Aston";"2"
"Ato";"1"
"Aurelien";"1"
"Axel";"2"
"Ayden";"1"
"Ayman";"1"
"Aynsley";"1"
"Ayoub";"1"
"Bade";"1"
"Bailey";"4"
"Baily";"1"
"Bali";"1"
"Baris";"1"
"Barnaby";"1"
"Barney";"1"
"Bashil";"1"
"Bashir";"1"
"Basil";"1"
"Basima";"1"
"Bassala";"1"
"Baylee";"1"
"Bayley";"1"
"Beau";"1"
"Ben";"60"
"Bendito";"1"
"Beni";"1"
"Benicio";"1"
"Benik";"1"
"Benjamin";"3"
"Benji";"2"
"Benn";"1"
"Benny";"1"
"Beryly";"1"
"Besart";"1"
"Bevis";"1"
"Billal";"1"
"Billy";"12"
"Bjørn";"1"
"Blake";"1"
"Bless";"1"
"Bobby";"8"
"Bode";"1"
"Bosun";"1"
"Botan";"1"
"Brad";"7"
"Bradley";"12"
"Braidin";"1"
"Branden";"1"
"Brandon";"15"
"Brayden";"2"
"Brendan";"2"
"Brennan";"2"
"Brett";"1"
"Brian";"4"
"Briar";"1"
"Bright";"2"
"Britt";"1"
"Brodi";"1"
"Broghan";"1"
"Brook";"1"
"Brooke";"1"
"Brooklyn";"2"
"Bryant";"1"
"Bryn";"1"
"Buba";"1"
"Bukayo";"1"
"Byron";"2"
"Caden";"1"
"Caelan";"1"
"Cain";"1"
"Cal";"1"
"Cale";"1"
"Caleb";"5"
"Callum";"36"
"Calum";"9"
"Calvin";"4"
"Cam";"2"
"Cam'ron";"1"
"Cameron";"22"
"Campbell";"1"
"Carey";"1"
"Carl";"3"
"Carlos";"2"
"Carlton";"1"
"Carney";"1"
"Carrick";"1"
"Carter";"1"
"Casey";"1"
"Cauley";"1"
"Cavaghn";"1"
"Caylan";"1"
"Cayon";"1"
"Cedwyn";"1"
"Chai";"1"
"Chandler";"1"
"Charles";"4"
"Charley";"1"
"Charlie";"56"
"Che";"1"
"Cheick";"1"
"Chem";"1"
"Chey";"1"
"Cheye";"1"
"Chibby";"1"
"Chido";"1"
"Chima";"2"
"Chinaza";"1"
"Chinonso";"1"
"Chisom";"1"
"Chizzy";"1"
"Chris";"13"
"Christian";"5"
"Christopher";"2"
"Christy";"1"
"Chuba";"1"
"Chuks";"1"
"Chukwuemeka";"1"
"Cian";"3"
"Ciaran";"3"
"Ciaron";"1"
"Cieran";"1"
"CJ";"2"
"Clae";"1"
"Clarke";"1"
"Cláudio";"1"
"Clay";"1"
"Clayton";"1"
"Clinton";"1"
"Coban";"1"
"Coby";"3"
"Cody";"3"
"Cohen";"1"
"Colby";"1"
"Cole";"5"
"Collin";"1"
"Coniah";"1"
"Connal";"1"
"Connor";"19"
"Conor";"10"
"Conrad";"1"
"Corbin";"1"
"Corey";"6"
"Cory";"1"
"Courtney";"2"
"Craig";"2"
"Cristian";"1"
"Croyde";"1"
"Cruz";"1"
"Curtis";"5"
"Cyrus";"1"
"D'Margio";"1"
"Dael";"1"
"Dajaune";"1"
"Dale";"1"
"Damari";"1"
"Damian";"1"
"Damola";"1"
"Dan";"18"
"Dane";"2"
"Daniel";"28"
"Danilo";"1"
"Danny";"18"
"Dante";"5"
"Dapo";"1"
"Darko";"1"
"Darnell";"1"
"Darragh";"1"
"Darren";"2"
"Darryl";"1"
"Dauda";"1"
"David";"15"
"Davis";"1"
"Davon";"1"
"Deago";"1"
"Dean";"3"
"Declan";"3"
"Deji";"2"
"Delano";"1"
"Dele";"1"
"Demarai";"1"
"Demeaco";"1"
"Demetri";"1"
"Demiane";"1"
"Deniz";"1"
"Dennis";"2"
"Denny";"1"
"Denver";"1"
"Deon";"1"
"Deri";"1"
"Dermot";"1"
"Derrick";"1"
"Derry";"1"
"Desmond";"1"
"Destiny";"1"
"Devante";"2"
"Devlan";"1"
"Devon";"2"
"Devonte";"1"
"Dexter";"1"
"Di'Shon";"1"
"Diallang";"1"
"Diandro";"1"
"Dilan";"1"
"Dillon";"1"
"Dimitar";"1"
"Dino";"1"
"Dion";"5"
"Dionte";"1"
"Dipo";"1"
"Divin";"2"
"Divine";"2"
"DJ";"2"
"Djed";"1"
"Dom";"2"
"Domeiro";"1"
"Dominic";"9"
"Donald";"1"
"Donay";"1"
"Dondre";"1"
"Donervon";"1"
"Donnell";"1"
"Donte";"1"
"Doug";"2"
"Douglas";"1"
"Dovydas";"1"
"Drey";"1"
"Dru";"1"
"Dujon";"1"
"Duncan";"1"
"Dwayne";"1"
"Dwight";"1"
"Dylan";"8"
"Dynel";"1"
"Ebere";"1"
"Ebou";"1"
"Ed";"5"
"Eddie";"2"
"Eddy";"1"
"Eden";"1"
"Edward";"2"
"Eiran";"1"
"Eleazar";"1"
"Eli";"1"
"Elias";"1"
"Elicha";"1"
"Elijah";"5"
"Eliot";"1"
"Elisha";"1"
"Elkan";"1"
"Ellery";"1"
"Elliot";"12"
"Elliott";"3"
"Ellis";"8"
"Elton";"1"
"Elvis";"1"
"Elyh";"1"
"Emeka";"2"
"Emile";"2"
"Emilio";"2"
"Emmanuel";"6"
"Emmerson";"1"
"Emran";"1"
"Emre";"1"
"Enrique";"1"
"Ephraim";"1"
"Ephron";"1"
"Eric";"3"
"Érico";"1"
"Erin";"1"
"Erling";"1"
"Ernie";"1"
"Errol";"1"
"Esapa";"1"
"Eterne";"1"
"Ethan";"23"
"Ethon";"1"
"Etienne";"1"
"Euan";"2"
"Eugene";"1"
"Evan";"4"
"Ezra";"4"
"Ezri";"1"
"Fabian";"2"
"Fabio";"1"
"Fábio";"2"
"Fankaty";"1"
"Farhaan";"1"
"Farren";"1"
"Farrend";"1"
"Faustino";"1"
"Favour";"2"
"Faysal";"1"
"Felipe";"1"
"Felix";"5"
"Femi";"3"
"Ferdinand";"1"
"Fikayo";"1"
"Filip";"2"
"Filozofe";"1"
"Fin";"4"
"Finlay";"9"
"Finley";"11"
"Finn";"7"
"Fionn";"1"
"Fisayo";"1"
"Fletcher";"1"
"Floyd";"1"
"Flynn";"1"
"Fola";"1"
"Folarin";"1"
"Francis";"1"
"Frank";"4"
"Frankie";"5"
"Fraser";"5"
"Frazer";"1"
"Fred";"2"
"Freddie";"11"
"Freddy";"1"
"Fuad";"2"
"Fynn";"1"
"Gabby";"1"
"Gabriel";"4"
"Gaël";"1"
"Garath";"1"
"Gareth";"1"
"Gary";"2"
"Gatlin";"1"
"Ged";"1"
"Genesis";"1"
"George";"54"
"Georgie";"1"
"Geraldo";"1"
"Gerrard";"1"
"Gethin";"1"
"Gideon";"1"
"Giovanni";"1"
"Glen";"2"
"Glenn";"2"
"Godfred";"1"
"Godwill";"1"
"Goodness";"1"
"Gozie";"1"
"Grady";"1"
"Grant";"3"
"Greg";"3"
"Gregory";"1"
"Gui";"1"
"Gus";"1"
"Guy";"1"
"Habeeb";"1"
"Haji";"1"
"Hakeeb";"1"
"Hakeem";"1"
"Halid";"1"
"Hamish";"1"
"Hamza";"1"
"Hamzat";"1"
"Han";"1"
"Hansel";"1"
"Harley";"4"
"Harmony";"1"
"Harold";"1"
"Harri";"1"
"Harrison";"18"
"Harry";"51"
"Harvey";"23"
"Hayden";"8"
"Haydn";"1"
"Haydon";"1"
"Hazeem";"1"
"Hector";"1"
"Henry";"7"
"Herbie";"2"
"Hindolo";"1"
"Hiram";"1"
"Horace";"1"
"Horacio";"1"
"Hudson";"1"
"Hugh";"1"
"Hugo";"4"
"Huseyin";"1"
"I-Lani";"1"
"Ian";"1"
"Ibane";"1"
"Ibou";"1"
"Ibrahim";"3"
"Idris";"2"
"Igor";"1"
"Ike";"1"
"Iké";"1"
"Iker";"1"
"Iliman";"1"
"Illan";"1"
"Imari";"1"
"Isaac";"20"
"Isaiah";"4"
"Ísak";"1"
"Ishé";"1"
"Ivan";"2"
"Jack";"87"
"Jackson";"6"
"Jacob";"28"
"Jadel";"1"
"Jaden";"6"
"Jadon";"1"
"Jaedyn";"1"
"Jaheim";"1"
"Jahmai";"1"
"Jahmari";"1"
"Jahmi";"1"
"Jai";"3"
"Jaiden";"3"
"Jaidon";"1"
"Jaime";"1"
"Jak";"2"
"Jakai";"1"
"Jake";"30"
"Jalen";"1"
"Jalil";"1"
"Jamaal";"1"
"Jamal";"7"
"Jameel";"1"
"Jamel";"1"
"James";"57"
"Jamey";"1"
"Jamie";"21"
"Janoi";"1"
"Japhet";"1"
"Jarell";"1"
"Jariyah";"1"
"Jarrad";"1"
"Jarrod";"1"
"Jarvis";"1"
"Jas";"1"
"Jashayde";"1"
"Jason";"2"
"Jasper";"3"
"Jay";"18"
