"name";"weight"
"Aaron";"1"
"Aarón";"10"
"Aarón Sánchez";"2"
"Abde";"1"
"Abdón";"1"
"Abdou";"2"
"Abdoulaye";"1"
"Abel";"8"
"Abel González";"1"
"Abner Felipe";"1"
"Abraham";"7"
"Achraf";"1"
"Adam";"6"
"Adama";"2"
"Adán";"1"
"Adnane";"1"
"Adolfo";"1"
"Adolfo González";"1"
"Adri";"16"
"Adri García";"1"
"Adri González";"1"
"Adri López";"2"
"Adri Martínez";"1"
"Adri Ochoa";"1"
"Adri Pérez";"2"
"Adri Rodríguez";"1"
"Adrià";"12"
"Adrian";"1"
"Adrián";"64"
"Adrián Fernández";"1"
"Adrián García";"2"
"Adrián González";"1"
"Adrián López";"1"
"Adrián Pérez";"3"
"Adrián Pica";"1"
"Adriano";"1"
"Adrien";"1"
"Adu";"1"
"Ager";"1"
"Agüero";"1"
"Agus";"2"
"Agustín";"5"
"Ahmed";"2"
"Aihen";"1"
"Aimar";"12"
"Aimar García";"2"
"Aingeru";"1"
"Airam";"2"
"Aisar";"1"
"Aitor";"40"
"Aitor Fernández";"1"
"Aitor García";"1"
"Aitor González";"1"
"Aitor Pérez";"1"
"Alagy";"1"
"Alain";"6"
"Alain García";"1"
"Alan";"3"
"Alassan";"1"
"Alber";"1"
"Albert";"10"
"Albert García";"1"
"Albert López";"1"
"Albertín";"1"
"Albertito";"1"
"Alberto";"59"
"Alberto Fernández";"1"
"Alberto González";"1"
"Alberto Martín";"1"
"Alberto Sánchez";"1"
"Albi";"1"
"Albur";"1"
"Aldo";"1"
"Ale";"9"
"Ale García";"1"
"Ale Gomes";"1"
"Ale Palanca";"1"
"Aleix";"9"
"Aleix García";"1"
"Alejandro";"54"
"Alessandro";"1"
"Alessio";"3"
"Alex";"2"
"Álex";"109"
"Àlex";"7"
"Álex Barbu";"1"
"Álex Costa";"1"
"Álex Fernández";"1"
"Álex Ferquez";"1"
"Álex García";"1"
"Álex Gonpi";"1"
"Álex González";"2"
"Álex Guti";"1"
"Álex Jiménez";"1"
"Álex Kosty";"1"
"Álex López";"3"
"Álex Martín";"1"
"Álex Martínez";"1"
"Álex Peque";"1"
"Álex Pérez";"7"
"Álex Piriti";"1"
