"name";"weight"
"Aadil";"1"
"Aaron";"8"
"Ababacar";"1"
"Abd-Elmajid";"1"
"Abdaiyaan";"1"
"Abdalaye";"1"
"Abdallah";"3"
"Abdel";"4"
"Abdel Kader";"1"
"Abdelaye";"1"
"Abdeldjalil";"1"
"Abdelhadi";"1"
"Abdelhak";"2"
"Abdelhakim";"1"
"Abdelhamid";"1"
"Abdeljalil";"1"
"Abdelkader";"1"
"Abdelkrim";"3"
"Abdellah";"1"
"Abdelmalek";"1"
"Abdelnour";"2"
"Abdelrafik";"1"
"Abdelsamad";"1"
"Abdenoor";"1"
"Abderraouf";"1"
"Abderrezzek";"1"
"Abdessalem";"2"
"Abdou";"2"
"Abdou-Salam";"1"
"Abdoul";"5"
"Abdoulaye";"27"
"Abdoulkader";"1"
"Abdoullah";"1"
"Abdourahmane";"1"
"Abdourazak";"1"
"Abdramane";"1"
"Abdsamad";"1"
"Abdulakeem";"1"
"Abel";"2"
"Abou";"3"
"Aboubacar";"7"
"Aboubacar-Sama";"1"
"Aboubaka";"2"
"Aboubakar";"2"
"Aboubakary";"1"
"Aboudramane";"1"
"Achille";"2"
"Ackah-Tidiane";"1"
"Adam";"37"
"Adama";"12"
"Adame";"4"
"Adams";"1"
"Adel";"9"
"Adem";"3"
"Adham";"1"
"Adil";"6"
"Adilson";"1"
"Adnan";"1"
"Adnane";"2"
"Adon";"1"
"Adrian";"1"
"Adrián Santos";"1"
"Adriano";"1"
"Adrien";"24"
"Adyb";"1"
"Aël";"1"
"Aeron";"1"
"Afimico";"1"
"Ahmad";"2"
"Ahmadou";"2"
"Ahmed";"11"
"Ahmet";"1"
"Aidan";"1"
"Ailton";"1"
"Aimé";"1"
"Aïmen";"1"
"Aimeric";"1"
"Aissa";"1"
"Aïssa";"2"
"Ajdin";"1"
"Akim";"4"
"Akram";"1"
"Al Amin";"1"
"Aladji";"1"
"Alain";"4"
"Alaixys";"1"
"Alan";"8"
"Alassane";"8"
"Alban";"2"
"Albert";"3"
"Albin";"2"
"Aldo";"1"
"Aldrig";"1"
"Alec";"1"
"Alessio";"3"
"Alex";"5"
"Álex";"2"
"Alexander";"1"
"Alexander Borja";"1"
"Alexandre";"49"
"Alexandro";"1"
"Alexi";"2"
"Alexis";"39"
"Alexy";"1"
"Alfhusein";"1"
"Alfoussen";"1"
"Alfred";"1"
"Alhassance";"1"
"Ali";"8"
"Alimami";"1"
"Aliou";"2"
"Alioune";"1"
"Alix";"3"
"Allan";"13"
"Almami";"1"
"Almamy";"1"
"Aloïs";"2"
"Alperen";"1"
"Alpha";"4"
"Alphonse";"1"
"Alramid";"1"
"Alsény";"2"
"Altays";"1"
"Alvin";"5"
"Alvyn";"1"
"Aly";"5"
"Amadou";"7"
"Amal";"1"
"Amallah";"1"
"Amara";"2"
"Amaury";"5"
"Amay";"1"
"Ambroise";"1"
"Amed";"1"
"Amidou";"2"
"Amin";"3"
"Amin Krim";"1"
"Amine";"30"
"Amir";"5"
"Amjhad";"1"
"Amos";"1"
"Anas";"1"
"Anass";"1"
"Ancelin";"1"
"Ancoub";"1"
"Anddrys";"1"
"Anderson";"1"
"Andi";"2"
"André";"2"
"André-Pierre";"1"
"Andrea";"1"
"Andréa";"6"
"Andreas";"1"
"Andréas";"1"
"Andreaw";"1"
"Andrei";"1"
"Andrew";"2"
"Andria";"1"
"Andy";"6"
"Anfane";"1"
"Ange";"9"
"Ange Koffi";"1"
"Ange-Kévine";"1"
"Ange-Loïc";"1"
"Ange-Pierre";"1"
"Ange-Yannis";"1"
"Angel";"3"
"Angelo";"3"
"Anilton";"1"
"Anis";"12"
"Aniss";"2"
"Anizar";"1"
"Anoh";"1"
"Anslem";"1"
"Ansley";"1"
"Ansoumana";"1"
"Antéo";"1"
"Anthony";"51"
"Anthony M'Fa";"1"
"Anthony Parfait";"1"
"Antoine";"39"
"Antoine-Dominique";"1"
"Antoni";"1"
"Antonin";"8"
"Antony";"1"
"Antton";"1"
"Anzo";"1"
"Apollinaire";"1"
"Archange";"1"
"Archibald";"1"
"Arcial";"1"
"Aristide";"2"
"Armand";"3"
"Arnaud";"11"
"Arnold";"2"
"Arone";"1"
"Arouna";"2"
"Arséne";"1"
"Arsène";"2"
"Arsenne";"1"
"Arslane";"1"
"Arthur";"19"
"Arthylio";"1"
"Artur";"3"
"Aser";"1"
"Asier";"1"
"Assad";"1"
"Assman";"1"
"Ateef";"1"
"Aubin";"1"
"Aubrel";"1"
"Augustin";"4"
"Aurèle";"1"
"Aurélien";"7"
