"name";"weight"
"Aaron";"11"
"Abba";"1"
"Abdel-Haq";"1"
"Abdelhamid";"1"
"Abdenego";"1"
"Abdul";"1"
"Abdulbaki";"1"
"Ablie";"1"
"Abu-Bekir";"1"
"Adam";"2"
"Aday";"1"
"Adem";"1"
"Adin";"1"
"Adonis";"1"
"Adrian";"11"
"Adriano";"2"
"Adrien";"1"
"Affam Ifeadigo";"1"
"Afrim";"1"
"Ahmad";"1"
"Ahmed";"3"
"Ahmet";"3"
"Aidan";"1"
"Ajdin";"1"
"Akbar";"1"
"Aki";"1"
"Akim";"1"
"Akram";"1"
"Alaa";"2"
"Alan";"1"
"Albano";"1"
"Albert";"1"
"Albin";"1"
"Aldin";"1"
"Alec";"1"
"Aleksandar";"2"
"Alessandro";"7"
"Alessio";"2"
"Alex";"3"
"Alexander";"44"
"Alexandre";"2"
"Alexis";"1"
"Alfie";"1"
"Alfons";"1"
"Ali";"4"
"Ali-Eren";"1"
"Aljoscha";"1"
"Allan";"1"
"Allen";"1"
"Almin";"1"
"Almugera";"1"
"Amar";"1"
"Amara";"1"
"Amid";"1"
"Amil";"1"
"Amin";"3"
"Ammon";"1"
"Amon";"1"
"Amos";"1"
"Anas";"3"
"Anderson";"1"
"André";"5"
"Andreas";"10"
"Andrew";"2"
"Andrik";"1"
"Andu";"1"
"Andy";"2"
"Angelo";"4"
"Anil";"1"
"Änis";"1"
"Anouar";"2"
"Ansgar";"1"
"Anthony";"6"
"Anton";"9"
"Antonijo";"1"
"Antonio";"6"
"Antonios";"1"
"Arda";"6"
"Ardian";"1"
"Ardit";"2"
"Arian";"4"
"Arianit";"1"
"Arif";"1"
"Arijon";"1"
"Aris";"2"
"Aristide";"1"
"Arlind";"2"
"Arman";"1"
"Armel";"1"
"Armin";"2"
"Armindo";"1"
"Armos";"1"
"Arnaud";"1"
"Arne";"6"
"Arnold";"1"
"Aron";"3"
"Artan";"1"
"Arthur";"2"
"Arthur Chaves";"1"
"Artur";"2"
"Asher";"1"
"Ashley";"1"
"Assad";"1"
"Assan";"1"
"Astin";"1"
"Atakan";"2"
"Aurel";"2"
"Avanesh";"1"
"Avdo";"1"
"Axel";"1"
"Ayman";"1"
"Ayodele";"1"
"Ayoub";"1"
"Ayukayoh";"1"
"Ba-Muaka";"1"
"Babis Drakas";"1"
"Bakery";"1"
"Bambasé";"1"
"Baran";"1"
"Baris";"1"
"Barne";"1"
"Bartu";"1"
"Bassala";"1"
"Bastian";"4"
"Batikan";"1"
"Baton";"1"
"Batuhan";"3"
"Bela";"1"
"Ben";"22"
"Ben-Luca";"1"
"Bence";"1"
"Benedict";"2"
"Benedikt";"10"
"Benjamin";"23"
"Benjika";"1"
"Bennedikt";"1"
"Bennet";"4"
"Bennett";"1"
"Bennit";"1"
"Benno";"3"
"Bent";"1"
"Bentley Baxter Bahn";"1"
"Bento";"1"
"Berk";"1"
"Berkan";"2"
"Berkay";"5"
"Bernd";"2"
"Bernie";"1"
"Besfort";"1"
"Beytullah";"1"
"Bilal";"1"
"Bjarne";"3"
"Björn";"2"
"Blessing";"1"
"Boran";"1"
"Boran-Firat";"1"
"Boris";"2"
"Borna";"1"
"Boubacar";"1"
"Brajan";"1"
"Brian";"3"
"Bright";"1"
"Brooklyn";"1"
"Bruno";"2"
"Bryan";"2"
"Bujar";"1"
"Bünyamin";"1"
"Burak";"3"
"Burim";"1"
"Çagatay";"1"
"Cajetan";"1"
"Calogero";"1"
"Calvin";"3"
"Can";"4"
"Carl";"1"
"Carl-Anton";"1"
"Carlo";"2"
"Carlos";"1"
"Carsten";"1"
"Caspar";"2"
"Cassiano";"1"
"Cayan";"1"
"Cebio";"1"
"Cedric";"5"
"Cédric";"1"
"Cem";"1"
"Cemal";"2"
"Cenan";"1"
"Cenk";"1"
"Cenny";"1"
"Chadi";"1"
"Charalampos";"1"
"Charles";"1"
"Charmaine";"1"
"Chilohem";"1"
"Chima";"1"
"Chima Ishionwu";"1"
"Chinedu";"1"
"Chris";"4"
"Christalino";"1"
"Christian";"21"
"Christoph";"8"
"Christopher";"13"
"Christos";"1"
"Cimo";"1"
"Claudio";"3"
"Clay";"1"
"Clemens";"3"
"Clement";"1"
"Clinton";"1"
"Coby";"1"
"Colin";"4"
"Collin";"2"
"Connor";"1"
"Conor";"2"
"Corvin";"1"
"Cottrell";"1"
"Cyrill";"1"
"Damian";"1"
"Damijan";"1"
"Damion";"1"
"Daniel";"43"
"Daniel-Kofi";"1"
"Daniele";"1"
"Daniels";"1"
"Danijel";"1"
"Danilo";"1"
"Danilo Soares";"1"
"Danny";"4"
"Danyal";"1"
"Darijo";"1"
"Dario";"2"
"Daris";"1"
"Darius";"1"
"Darnell";"1"
"Darryl";"1"
"Darwin";"2"
"Daryl";"1"
"Dave";"1"
"David";"45"
"Davide";"3"
"Davie";"1"
"Davino";"1"
"Davis";"2"
"Davud";"1"
"Dejan";"2"
"Deji";"1"
"Denis";"10"
"Deniz";"3"
"Deniz-Fabian";"1"
"Dennis";"23"
"Derrick";"3"
"Derry";"1"
"Devin";"2"
"Devran";"2"
"Diant";"1"
"Dickson";"1"
"Diego";"3"
"Dilane";"1"
"Dildar";"1"
"Dillon";"1"
"Dimitrij";"1"
"Din";"1"
"Dion";"2"
"Diren";"1"
"Diren-Mehmet";"1"
"Djamal";"2"
"Domenic";"1"
"Domenico";"1"
"Dominic";"5"
"Dominik";"26"
"Dominique";"3"
"Donald";"1"
"Donatus";"1"
"Donny";"1"
"Dorian";"1"
"Drilon";"1"
"Drini";"1"
"Dudu";"1"
"Duje";"1"
"Dustin";"5"
"Dylan";"2"
"Dženan";"1"
"Dženis";"1"
"Ebu Bekir";"1"
"Eddy";"1"
"Edgar";"1"
"Edi";"1"
"Edin";"1"
"Edis";"1"
"Ediz";"1"
"Edmund";"1"
"Eduard";"2"
"Edwin";"1"
"Efe";"2"
"Efe-Kaan";"1"
"Efekan";"1"
"Efkan";"1"
"Egor";"1"
"Ekin";"1"
"Elia";"2"
"Eliah";"1"
"Elias";"24"
"Elidon";"1"
"Elija";"2"
"Elijah";"2"
"Elijas";"1"
"Eliot";"2"
"Eliyas";"1"
"Elmir";"1"
"Elvis";"1"
"Emanuel";"2"
"Emeka";"1"
"Emil";"6"
"Emilian";"1"
"Emilio";"3"
"Emin";"1"
"Emir";"1"
"Emir-Ahmet";"1"
"Emirhan";"1"
"Emmanuel";"9"
"Emre";"5"
"Enes";"1"
"Engjëll";"1"
"Enis";"2"
"Enoch";"1"
"Enrique";"3"
"Enzo";"2"
"Ephraim";"2"
"Erdal";"1"
"Erdem";"1"
"Erdogan";"1"
"Eren";"2"
"Eric";"9"
"Éric";"1"
"Eric Maxim";"1"
"Erich";"1"
"Erik";"11"
"Erion";"1"
"Ermedin";"1"
"Ermin";"1"
"Ernest";"1"
"Eroll";"1"
"Eros";"1"
"Ersin";"1"
"Ethan";"1"
"Etienne";"2"
"Étienne";"1"
"Evans";"1"
"Exaouse";"1"
"Eymen";"1"
"Eyyüb";"1"
"Faaris";"1"
"Fabian";"32"
"Fabiano";"1"
"Fabio";"14"
"Fabrice";"2"
"Fadhel";"1"
"Fadi";"1"
"Faik";"1"
"Falko";"1"
"Farid";"2"
"Faride";"1"
"Faris";"1"
"Fatih";"3"
"Fatlum";"1"
"Faton";"1"
"Fayssal";"1"
"Federico";"1"
"Felipe";"1"
"Felix";"44"
"Ferdinand";"4"
"Ferhat";"1"
"Fernando";"1"
"Fiete";"2"
"Filimon";"1"
"Filip";"3"
"Finn";"13"
"Firat";"1"
"Fisnik";"1"
"Flamur";"1"
"Flavio";"1"
"Florent";"2"
"Florian";"34"
"Florijon";"1"
"Fousseny";"1"
