"name";"weight"
"Aaron";"1"
"Abdoul";"1"
"Abdoulaye";"1"
"Abraham";"1"
"Accursio";"1"
"Adam";"3"
"Adama";"1"
"Adji-Joel";"1"
"Adrià";"1"
"Adrian";"1"
"Adriano";"4"
"Adrien";"1"
"Agostino";"3"
"Agustín";"6"
"Ahmed";"1"
"Aiman";"1"
"Aimone";"1"
"Alain";"1"
"Alan";"2"
"Alberto";"25"
"Aldo";"2"
"Alejandro";"2"
"Alejo";"1"
"Aleksandar";"1"
"Aleksandr";"1"
"Alen";"1"
"Alesandro";"1"
"Alessandro";"173"
"Alessandro Sabino";"1"
"Alessio";"41"
"Alex";"13"
"Alex Telles";"1"
"Alexander";"1"
"Alexandre";"2"
"Alexandro";"1"
"Alexandru";"2"
"Alexis";"1"
"Alfie";"1"
"Alfonso";"1"
"Alfred";"2"
"Alfredo";"3"
"Ali";"1"
"Aljoša";"1"
"Alphadjo";"1"
"Alvin Obinna";"1"
"Amad";"1"
"Amadou";"1"
"Amaury";"1"
"Amedeo";"1"
"Amit";"1"
"Anas";"1"
"Andrè Leonardo Kevin";"1"
"Andrea";"157"
"Andrea Sergio";"1"
"Andrei";"3"
"Andrew";"1"
"Andy";"1"
"Ángel";"1"
"Angelo";"13"
"Angelo Antonio";"1"
"Aniello";"1"
"Anthony";"5"
"Antonello";"2"
"Antoni";"1"
"Antonin";"1"
"Antonino";"10"
"Antonio";"46"
"Antonio Pio";"1"
"Antonio Stefano";"1"
"Antony";"2"
"Armand";"1"
"Armando";"5"
"Aron";"1"
"Arthur";"1"
"Arthur Bonaldo";"1"
"Arthur Chaves";"1"
"Arthur Rampineli";"1"
"Arturo";"3"
"Augusto";"2"
"Augusto Seedorf";"1"
"Ayman";"1"
"Aymen";"1"
"Badr";"1"
"Bailey";"1"
"Bala";"1"
"Baldovino";"1"
"Baye";"1"
"Ben";"1"
"Benedetto";"1"
"Benedikt";"1"
"Benit";"1"
"Benja";"1"
"Benjamín";"1"
"Bento";"1"
"Beraldo";"1"
"Bernardo";"1"
"Biagio";"2"
"Bilal";"1"
"Birahim";"1"
"Bob";"1"
"Brando";"4"
"Brenner";"1"
"Briajan";"1"
"Brian";"1"
"Bruno";"6"
"Bruno Duarte";"1"
"Bryan";"2"
"Caio Barone";"1"
"Caleb";"3"
"Calogero";"1"
"Calvin";"1"
"Camillo";"2"
"Carlo";"14"
"Carlos";"1"
"Carlos Augusto";"1"
"Carmelo";"2"
"Carmine";"2"
"Catello";"1"
"Cauan Baptistella";"1"
"Cedric";"1"
"César";"1"
"Cesare";"5"
"Charles";"1"
"Cher";"1"
"Chris";"2"
"Christ";"1"
"Christian";"49"
"Ciro";"4"
"Claud";"1"
"Claudio";"12"
"Clemente";"1"
"Corrado";"1"
"Cosimo";"6"
"Costantino";"1"
"Crescenzo";"1"
"Cristhian";"1"
"Cristian";"40"
"Cristiano";"12"
"Crocefisso";"1"
"Damiano";"4"
"Daniel";"21"
"Daniel Bessa";"1"
"Daniel Jounut";"1"
"Daniele";"36"
"Danilo";"11"
"Danny";"1"
"Dario";"5"
"Dario Pio";"1"
"Darius Cristian";"1"
"Dauda";"1"
"David";"7"
"Davide";"83"
"Davis";"1"
"Dean";"1"
"Delis";"1"
"Demba";"2"
"Demetrio";"1"
"Denis";"12"
"Dennis";"4"
"Denzel";"2"
"Desmond";"1"
"Destiny";"2"
"Destiny Efosa";"1"
"Devid";"1"
"Devis";"1"
"Diego";"34"
"Diego Alexander";"1"
"Dimitri";"1"
"Dino";"1"
"Divine";"1"
"Djibril";"1"
"Domenico";"12"
"Domenico Pio";"1"
"Dominic";"1"
"Donato";"1"
"Dorian";"1"
"Duccio";"2"
"Dylan";"1"
"Ebenezer";"1"
"Eddie";"1"
"Eddy";"3"
"Edgar";"1"
"Edin";"1"
"Edinson";"1"
"Edoardo";"50"
"Edoardo Francesco";"1"
"Eduart";"1"
"Elia";"14"
"Elio";"1"
"Eloghosa Newton";"1"
"Elvis";"2"
"Emanuel";"2"
"Emanuele";"31"
"Emerson";"1"
"Emil";"1"
"Emiliano";"7"
"Emilio";"3"
"Emmanuel";"3"
"Emmanuele";"5"
"Endri";"1"
"Endris";"1"
"Enea";"5"
"Enoch";"1"
"Enrico";"16"
"Enzo";"4"
"Ephraim";"1"
"Erasmo";"1"
"Erdis";"1"
"Eric";"1"
"Erick";"2"
"Erik";"2"
"Ernesto";"4"
"Eros";"4"
"Ervin";"1"
"Ettore";"5"
"Eugenio";"3"
"Eyob";"1"
"Ezequiel";"1"
"Fabian";"4"
"Fabiano";"3"
"Fabien";"1"
"Fabio";"32"
"Fábio";"1"
"Fabio Andrea";"1"
"Fabrizio";"10"
"Facundo";"4"
"Fausto";"1"
"Favour";"1"
"Federico";"84"
"Felice";"1"
"Felipe";"3"
"Felix";"1"
"Fellipe Jack";"1"
"Ferdinando";"3"
"Fernando";"4"
"Filip";"1"
"Filipe Bordon";"1"
"Filippo";"88"
"Filippo Rino";"1"
"Flavio";"11"
"Flavio Junior";"1"
"Francescantonio";"1"
"Francesco";"140"
"Francesco Karol";"1"
"Francesco Luis";"1"
"Francesco Pio";"1"
"Francesco Todor";"1"
"Franck";"1"
"Franco";"9"
"Frank";"1"
"Freddi";"1"
"Frederik";"1"
"Gabriel";"17"
"Gabriel Peter";"1"
"Gabriele";"63"
"Gabriele Samir";"1"
"Gaetano";"9"
"Galo";"1"
"Gastón";"1"
"Gautier";"1"
"Gelana";"1"
"Gennaro";"7"
"Georges";"1"
"Germán";"1"
"Gerónimo";"2"
"Giacomo";"44"
"Giammarco";"1"
"Giampaolo";"1"
"Gian Filippo";"1"
"Gian Luca";"1"
"Gian Marco";"3"
"Giancarlo";"3"
"Gianfranco";"2"
"Giangiacomo";"1"
"Gianluca";"26"
"Gianluigi";"1"
"Gianmarco";"15"
"Gianmaria";"2"
"Gianmario";"1"
"Gianni";"3"
"Gino";"2"
"Gioele";"8"
"Giorgian";"1"
"Giorgio";"18"
"Giosuè";"1"
"Giovani";"1"
"Giovanni";"41"
"Giovanni Andrea";"1"
"Giovanni Gabriele";"1"
"Giulian";"1"
"Giuliano";"2"
"Giulio";"17"
"Giuseppe";"45"
"Gonzalo";"4"
"Grayson";"1"
"Gregorio";"2"
"Guglielmo";"2"
"Gui";"1"
"Guido";"3"
"Guilherme";"1"
"Guillaume";"1"
"Guillermo";"1"
"Gustavo";"1"
"Gustavo Scarpa";"1"
"Guzmán";"1"
"Halid";"1"
"Hamza";"1"
"Hans";"1"
"Harry";"1"
"Honest";"1"
"Horacio";"1"
"Hubert";"1"
"Hugo";"1"
"Hugo Leonardo";"1"
"Iacopo";"5"
"Ian";"1"
"Ibrahima";"4"
"Ibrahima Papa";"1"
"Ignacio";"2"
"Ignazio";"1"
"Igor";"2"
"Ilario";"3"
"Ilyas";"1"
"Isaac";"1"
"Isaac Collins";"1"
"Ismaël";"1"
"Ismail";"1"
"Issa";"1"
"Italo";"2"
"Iustin";"1"
"Ivan";"7"
"Jack";"1"
"Jacob";"1"
"Jacopo";"39"
"Jamal";"1"
"James Aisosa";"1"
"Jamie";"1"
"Jason";"1"
"Javison";"1"
"Jayden";"1"
"Jean";"2"
"Jean-Charles";"1"
"Jeff";"1"
"Jefferson";"1"
"Jeffrey";"1"
"Jeremía";"1"
"Jeremiah";"1"
"Jeremías";"1"
"Jérémie";"1"
"Jérémy";"1"
"Jerónimo";"1"
"Jesse";"1"
"João Gabriel";"1"
"João Pedro Galvão";"1"
"Joaquín";"4"
"Joe";"1"
"Joel";"2"
"Johnny Cardoso";"1"
"Joi";"1"
"Jonas";"2"
"Jonathan";"6"
"Jordan";"1"
"Jorge";"1"
"Jorginho";"1"
"José";"1"
"José Alberto";"1"
"Joseph";"2"
"Josh";"1"
"Joshua";"1"
"Joyce";"1"
"Juan";"5"
"Juan Guillermo";"1"
"Juan Manuel";"3"
"Julián";"4"
"Julien";"1"
"Jurgen";"1"
"Juri";"1"
"Justin";"1"
"Kaleb";"1"
"Karim";"4"
"Kelvin";"2"
"Kenneth";"1"
"Kevin";"25"
"Kévin";"1"
"Kjell";"1"
"Kledi";"1"
"Kleo";"1"
"Kris";"1"
"Kristjan";"1"
"Laerte";"1"
"Lamberto";"1"
"Lamine";"1"
"Lapo";"5"
"Latta";"1"
"Laurens";"1"
"Lautaro";"4"
"Leandro";"2"
"Leo";"2"
"Léo Baptistão";"1"
"Léo Jardim";"1"
"Leo Lucas";"1"
"Leon";"1"
"Léonard";"1"
"Leonardo";"51"
"Levin";"1"
"Liberato";"1"
"Lionel";"1"
"Lisandru";"1"
"Loïs";"1"
"Lorenzo";"124"
"Lorenzo de Paula";"1"
"Lorenzo Jeremie";"1"
"Lorenzo Pio";"1"
"Loris";"4"
"Loris Davide";"1"
"Louis";"2"
"Luca";"128"
"Luca Tuijai";"1"
"Lucas";"10"
"Lucas Felippe";"1"
"Lucas Perri";"1"
"Lucas Piton";"1"
"Luciano";"3"
"Ludovico";"5"
"Luigi";"16"
"Luis";"3"
"Luiz Felipe";"1"
"Lukas";"3"
"Maat Daniel";"1"
"Maguette";"1"
"Maiko";"1"
"Majed";"1"
"Mamadou";"2"
"Manfredi Francesco";"1"
"Manfredo";"1"
"Manolo";"2"
"Manuel";"37"
"Manuele";"2"
"Marash";"1"
"Marc";"1"
"Marcelin";"1"
"Marcello";"8"
"Marcelo";"1"
"Marco";"104"
"Marco Andrea";"1"
"Marco Giuseppe";"1"
"Marcon";"1"
"Marcos";"3"
"Mariano";"2"
"Mario";"16"
"Mark";"1"
"Marlon";"1"
"Martin";"4"
"Martín";"5"
"Martinelli";"1"
"Martino";"1"
"Massimiliano";"5"
"Massimo";"8"
"Mateo";"4"
"Mateus Lusuardi";"1"
"Matheos";"1"
"Matheus";"1"
"Matheus Jesus";"1"
"Mathias";"1"
"Mathis";"1"
"Matias";"4"
"Matías";"7"
"Matteo";"141"
"Mattéo";"1"
"Matteo Davide";"1"
"Matteo Michele";"1"
"Matthias";"2"
"Mattia";"114"
"Mauricio";"1"
"Maurizio";"5"
"Mauro";"4"
"Max";"3"
"Maxence";"1"
"Maxime";"1"
"Maximiliano";"1"
"Melvin";"1"
"Metash";"1"
"Michael";"10"
"Michel";"1"
"Michelangelo";"2"
"Michele";"45"
"Mickaël";"1"
"Mike";"1"
"Milan";"3"
"Mirco";"3"
"Mirko";"15"
"Mo";"1"
"Mohamed";"2"
"Mohamed Alì";"1"
"Mohamed Amine";"1"
"Mohamed Force";"1"
"Moise";"1"
"Moris";"1"
"Mosè Opata";"1"
"Mouhamadou";"1"
"Moussa";"1"
"Muhamed";"1"
"Nadir";"1"
"Nahitan";"1"
"Nahuel";"1"
"Nathan";"1"
"Nazzareno";"1"
"Nedved";"1"
"Nelson";"1"
"Neto";"1"
